metric,value,dependencia_terreno,tipo
mesh,108247.6786736267,0.2,Agriculture
mesh,454.13303073761966,0.2,Urban
ndca,8277,0.2,Grassland
ndca,60790,0.2,Forest
ndca,20721,0.2,Agriculture
ndca,15645,0.2,Urban
nlsi,0.0659370246287129,0.2,Grassland
nlsi,0.0582073324402043,0.2,Forest
nlsi,0.02652123610283562,0.2,Agriculture
nlsi,0.1012100810859386,0.2,Urban
np,138376,0.2,Grassland
np,45871,0.2,Forest
np,12308,0.2,Agriculture
np,15311,0.2,Urban
pafrac,1.5417869582444828,0.2,Grassland
pafrac,1.5380009663087997,0.2,Forest
pafrac,1.546532626744042,0.2,Agriculture
pafrac,1.585037451964564,0.2,Urban
para_mn,0.375255457114114,0.2,Grassland
para_mn,0.22387559615917713,0.2,Forest
para_mn,0.22566226167731987,0.2,Agriculture
para_mn,0.227609122375124,0.2,Urban
pd,20.810739337699456,0.2,Grassland
pd,6.89866323755284,0.2,Forest
pd,1.8510332699919416,0.2,Agriculture
pd,2.302662528180583,0.2,Urban
pladj,93.37828812318494,0.2,Grassland
pladj,94.15582017038648,0.2,Forest
pladj,97.72490451416252,0.2,Agriculture
pladj,89.82603564672603,0.2,Urban
pland,16.726100856468324,0.2,Grassland
pland,24.26633932393553,0.2,Forest
pland,54.674671127273854,0.2,Agriculture
pland,4.332888692322298,0.2,Urban
shape_mn,1.1086296499866146,0.2,Grassland
shape_mn,2.424454263087396,0.2,Forest
shape_mn,2.377138188628513,0.2,Agriculture
shape_mn,2.320220841316483,0.2,Urban
split,40.72486854271969,0.2,Grassland
split,59.398244141578246,0.2,Forest
split,6.142634448585192,0.2,Agriculture
split,1464.1655087717418,0.2,Urban
tca,96212.6,0.2,Grassland
tca,141283.02,0.2,Forest
tca,344465.23000000004,0.2,Agriculture
tca,22740.34,0.2,Urban
te,29164130,0.2,Grassland
te,37571240,0.2,Forest
te,32499230,0.2,Agriculture
te,11700580,0.2,Urban
ai,93.65858919043524,0.3,Grassland
ai,94.40202932175154,0.3,Forest
ai,97.79219139434524,0.3,Agriculture
ai,90.03836800113915,0.3,Urban
area_mn,0.8634863624717583,0.3,Grassland
area_mn,3.517542238015304,0.3,Forest
area_mn,29.537378940526484,0.3,Agriculture
area_mn,1.8816863692769903,0.3,Urban
ca,111216.17999999992,0.3,Grassland
ca,161353.18,0.3,Forest
ca,363546.06,0.3,Agriculture
ca,28810.500000000004,0.3,Urban
cai_mn,0.5341701292183789,0.3,Grassland
cai_mn,8.840418986719847,0.3,Forest
cai_mn,8.162733431686366,0.3,Agriculture
cai_mn,7.32830262333741,0.3,Urban
circle_mn,0.435024995910456,0.3,Grassland
circle_mn,0.6784026198158669,0.3,Forest
circle_mn,0.6806668173639702,0.3,Agriculture
circle_mn,0.683613719876747,0.3,Urban
clumpy,0.9238487584370868,0.3,Grassland
clumpy,0.9260834531399104,0.3,Forest
clumpy,0.9512897388598264,0.3,Agriculture
clumpy,0.8958719264886867,0.3,Urban
cohesion,99.94349023280942,0.3,Grassland
cohesion,99.1431406767386,0.3,Forest
cohesion,99.98058862241112,0.3,Agriculture
cohesion,99.67070898487238,0.3,Urban
contig_mn,0.06130540266391435,0.3,Grassland
contig_mn,0.43895918604796214,0.3,Forest
contig_mn,0.4321497652970197,0.3,Agriculture
contig_mn,0.4273898663826673,0.3,Urban
core_mn,0.7497430880674537,0.3,Grassland
core_mn,3.0935602014344576,0.3,Forest
core_mn,28.002912739681506,0.3,Agriculture
core_mn,1.4887041995950625,0.3,Urban
cpland,14.52284489075114,0.3,Grassland
cpland,21.341430034792452,0.3,Forest
cpland,51.83432313783166,0.3,Agriculture
cpland,3.4279833759526173,0.3,Urban
dcad,1.2924748068175778,0.3,Grassland
dcad,8.741876087489567,0.3,Forest
dcad,3.0480087165198797,0.3,Agriculture
dcad,2.3016097793269967,0.3,Urban
dcore_mn,0.06672412052888613,0.3,Grassland
dcore_mn,1.2671840596455275,0.3,Forest
dcore_mn,1.6466525836854078,0.3,Agriculture
dcore_mn,0.9995428123571288,0.3,Urban
division,0.988905239581557,0.3,Grassland
division,0.9831644855087558,0.3,Forest
division,0.8372034005327591,0.3,Agriculture
division,0.9993170171035932,0.3,Urban
ed,42.14257431865493,0.3,Grassland
ed,54.34946798283936,0.3,Forest
ed,47.76899056664839,0.3,Agriculture
