prod,tipo,ref,esc,fraccion
NDR_N,Urban,0.04332888692314893,Esc. 8,0.05194405598328245
NDR_N,Urban,0.04332888692314893,Esc. 9,0.0490666709218712
NDR_N,Urban,0.04332888692314893,Esc. 10,0.08477207372829901
NDR_N,Grassland,0.1672610085642501,Esc. 1,0.11789184856598933
NDR_N,Grassland,0.1672610085642501,Esc. 2,0.18563931192889083
NDR_N,Grassland,0.1672610085642501,Esc. 3,0.0985613550745185
NDR_N,Grassland,0.1672610085642501,Esc. 4,0.09995000706759645
NDR_N,Grassland,0.1672610085642501,Esc. 5,0.10184112608220872
NDR_N,Grassland,0.1672610085642501,Esc. 6,0.11989496519489241
NDR_N,Grassland,0.1672610085642501,Esc. 7,0.12825485950433255
NDR_N,Grassland,0.1672610085642501,Esc. 8,0.08852643309151474
NDR_N,Grassland,0.1672610085642501,Esc. 9,0.09238310280657648
NDR_N,Grassland,0.1672610085642501,Esc. 10,0.13669824792447774
NDR_N,Forest,0.2426633932390044,Esc. 1,0.1282113300616371
NDR_N,Forest,0.2426633932390044,Esc. 2,0.24195473326067313
NDR_N,Forest,0.2426633932390044,Esc. 3,0.10789775586767437
NDR_N,Forest,0.2426633932390044,Esc. 4,0.1387793841814886
NDR_N,Forest,0.2426633932390044,Esc. 5,0.10974708755552048
NDR_N,Forest,0.2426633932390044,Esc. 6,0.11586258677064976
NDR_N,Forest,0.2426633932390044,Esc. 7,0.11403680109589331
NDR_N,Forest,0.2426633932390044,Esc. 8,0.12014886258151657
NDR_N,Forest,0.2426633932390044,Esc. 9,0.11919134811263161
NDR_N,Forest,0.2426633932390044,Esc. 10,0.1255599317657469
NDR_N,Agriculture,0.5467467112735965,Esc. 1,0.6683830900851285
NDR_N,Agriculture,0.5467467112735965,Esc. 2,0.5050566683824009
NDR_N,Agriculture,0.5467467112735965,Esc. 3,0.7171482302470518
NDR_N,Agriculture,0.5467467112735965,Esc. 4,0.709596116597262
NDR_N,Agriculture,0.5467467112735965,Esc. 5,0.7308375094612133
NDR_N,Agriculture,0.5467467112735965,Esc. 6,0.7046710414444096
NDR_N,Agriculture,0.5467467112735965,Esc. 7,0.6803949369833945
NDR_N,Agriculture,0.5467467112735965,Esc. 8,0.7393806483436862
NDR_N,Agriculture,0.5467467112735965,Esc. 9,0.7393588781589207
NDR_N,Agriculture,0.5467467112735965,Esc. 10,0.6529697465814763
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 1,0.0906632577450216
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 2,0.06662058910879137
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 3,0.07839631961250011
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 4,0.04504923603230488
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 5,0.05446048687103342
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 6,0.06995962692601429
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 7,0.07817139716848945
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 8,0.06049193034959228
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 9,0.05632738286047039
P_SURFACE_EXPORT,Urban,0.04332888692314893,Esc. 10,0.09368220222340656
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 1,0.009707094234710386
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 2,0.1725468511905669
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 3,0.007195365938127034
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 4,0.00677097571100584
P_SURFACE_EXPORT,Grassland,0.1672610085642501,Esc. 5,0.006970329330409675
