metric,tipo,max_d,esc
0.24137323779665598,LCP,0,4
NA,CPL,0,4
6643623318.315154,ECS,0,4
NA,AWF,0,4
0,IIC,0,4
5,NC,10,4
2,LNK,10,4
6643782483.397462,SLC,10,4
1328788171.3245647,MSC,10,4
0.9999523266426539,CCP,10,4
0.24137326683796712,LCP,10,4
1,CPL,10,4
6643624117.656178,ECS,10,4
4608902285658.805,AWF,10,4
0.24137323766190572,IIC,10,4
2,NC,100,4
5,LNK,100,4
6643783882.277686,SLC,100,4
3321970428.311412,MSC,100,4
0.9999527477321848,CCP,100,4
0.2413733684825685,LCP,100,4
1.6,CPL,100,4
6643626915.350118,ECS,100,4
165369604907358.88,AWF,100,4
0.24137328848420692,IIC,100,4
1,NC,1000,4
6,LNK,1000,4
6643940856.622824,SLC,1000,4
6643940856.622824,MSC,1000,4
1,CCP,1000,4
0.24138477446057788,LCP,1000,4
1.6666666666666667,CPL,1000,4
6643940856.622824,ECS,1000,4
1623584591134670.5,AWF,1000,4
0.2413789916072714,IIC,1000,4
1,NC,10000,4
8,LNK,10000,4
6643940856.622824,SLC,10000,4
6643940856.622824,MSC,10000,4
1,CCP,10000,4
0.24138477446057788,LCP,10000,4
1.8571428571428572,CPL,10000,4
6643940856.622824,ECS,10000,4
2057423083966715.5,AWF,10000,4
0.24137899644757727,IIC,10000,4
1,NC,1e+05,4
16,LNK,1e+05,4
6643940856.622824,SLC,1e+05,4
6643940856.622824,MSC,1e+05,4
1,CCP,1e+05,4
0.24138477446057788,LCP,1e+05,4
1.3333333333333333,CPL,1e+05,4
6643940856.622824,ECS,1e+05,4
2106800775694348.5,AWF,1e+05,4
0.24137899644757982,IIC,1e+05,4
6,NC,0,5
0,LNK,0,5
6643782083.71733,SLC,0,5
1107323476.1037927,MSC,0,5
0.9999522063313743,CCP,0,5
0.2413732377966511,LCP,0,5
NA,CPL,0,5
6643623318.315085,ECS,0,5
NA,AWF,0,5
0,IIC,0,5
5,NC,10,5
2,LNK,10,5
6643782483.397394,SLC,10,5
1328788171.324551,MSC,10,5
0.9999523266426539,CCP,10,5
0.2413732668379622,LCP,10,5
1,CPL,10,5
6643624117.656112,ECS,10,5
4608902285658.758,AWF,10,5
0.24137323766190083,IIC,10,5
2,NC,100,5
5,LNK,100,5
6643783882.277618,SLC,100,5
3321970428.311378,MSC,100,5
0.9999527477321848,CCP,100,5
0.24137336848256358,LCP,100,5
1.6,CPL,100,5
6643626915.35005,ECS,100,5
165369604907392.8,AWF,100,5
0.24137328848420203,IIC,100,5
1,NC,1000,5
6,LNK,1000,5
6643940856.622756,SLC,1000,5
6643940856.622756,MSC,1000,5
1,CCP,1000,5
0.24138477446057297,LCP,1000,5
1.6666666666666667,CPL,1000,5
6643940856.622756,ECS,1000,5
1623584591135046,AWF,1000,5
