metric,value,dependencia_terreno
sidi,0.6123288738659263,0.5
siei,0.8164384984879017,0.5
split,5.045757283155822,0.5
ta,664925.9199999998,0.5
tca,605982.46,0.5
te,52757150,0.5
ai,96.0308402347158,0.6
area_mn,3.8185823154098393,0.6
cai_mn,4.452138012832073,0.6
circle_mn,0.5492215748892683,0.6
cohesion,99.94581109636448,0.6
condent,0.28078439593192583,0.6
contag,52.987748433006445,0.6
contig_mn,0.2244332219898204,0.6
core_mn,3.4793199869062574,0.6
dcad,15.01234904483796,0.6
dcore_mn,0.5732589057537806,0.6
division,0.7996852464502314,0.6
ed,79.02511906890322,0.6
ent,1.5997056667478164,0.6
frac_mn,1.1062194485274133,0.6
gyrate_mn,14.574149641493134,0.6
iji,83.16533675902834,0.6
joinent,1.8804900626797425,0.6
lpi,38.49146232711158,0.6
lsi,164.31470353792383,0.6
mesh,133194.4717936531,0.6
msidi,0.9475979118424392,0.6
msiei,0.6835474040859121,0.6
mutinf,1.3189212708158906,0.6
ndca,99821,0.6
np,174129,0.6
pafrac,1.540461444848478,0.6
para_mn,0.3082672520810767,0.6
pd,26.187729303739587,0.6
pladj,96.04717584941756,0.6
pr,4,0.6
prd,6.015707734780441e-4,0.6
relmutinf,0.8244774637182117,0.6
rpr,NA,0.6
shape_mn,1.647279532204381,0.6
shdi,1.1088425290414632,0.6
shei,0.7998608088874477,0.6
sidi,0.6123288738659263,0.6
siei,0.8164384984879017,0.6
split,4.992143525521938,0.6
ta,664925.9199999998,0.6
tca,605850.5099999999,0.6
te,52545850,0.6
ai,95.972769140822,0.7
area_mn,4.069089952205816,0.7
cai_mn,4.516800877216038,0.7
circle_mn,0.5738005905547089,0.7
cohesion,99.94357471247775,0.7
condent,0.28442460550178805,0.7
contag,52.89658770898663,0.7
contig_mn,0.2281686583349919,0.7
core_mn,3.70054801143144,0.7
dcad,14.994452314326988,0.7
dcore_mn,0.6101377525105719,0.7
division,0.8024643040207355,0.7
ed,80.18613562244649,0.7
ent,1.599711886138747,0.7
frac_mn,1.1140340142978735,0.7
gyrate_mn,16.32219568745732,0.7
iji,83.74938888025241,0.7
joinent,1.884136491640535,0.7
lpi,38.49146232711157,0.7
lsi,166.6814642222086,0.7
mesh,131346.60438185267,0.7
msidi,0.9475979118424392,0.7
msiei,0.6835474040859121,0.7
mutinf,1.3152872806369589,0.7
ndca,99702,0.7
np,163409,0.7
pafrac,1.5526658822607262,0.7
para_mn,0.3067849161563745,0.7
pd,24.575519630818427,0.7
pladj,95.98910209271492,0.7
pr,4,0.7
prd,6.01570773478044e-4,0.7
relmutinf,0.8222026053777041,0.7
rpr,NA,0.7
shape_mn,1.7085938780346337,0.7
shdi,1.1088425290414632,0.7
shei,0.7998608088874477,0.7
sidi,0.6123288738659263,0.7
siei,0.8164384984879017,0.7
split,5.06237616974793,0.7
ta,664925.9199999999,0.7
tca,604702.85,0.7
te,53317840,0.7
ai,95.87300038780344,0.8
area_mn,4.2264210619986535,0.8
cai_mn,5.783359129125493,0.8
circle_mn,0.5914939989681824,0.8
cohesion,99.94105053643538,0.8
condent,0.29028427838381243,0.8
contag,52.751714229428146,0.8
contig_mn,0.24984678283462705,0.8
core_mn,3.820016208382593,0.8
dcad,15.536617973924075,0.8
dcore_mn,0.6566428943721955,0.8
division,0.8114917224696107,0.8
ed,82.18133532830245,0.8
ent,1.5996471524390614,0.8
frac_mn,1.115237416517856,0.8
gyrate_mn,18.504925664764205,0.8
iji,82.18558956728383,0.8
joinent,1.8899314308228736,0.8
lpi,38.49146232711157,0.8
lsi,170.74872769636397,0.8
mesh,125344.03986450948,0.8
msidi,0.9475979118424392,0.8
msiei,0.6835474040859122,0.8
mutinf,1.309362874055249,0.8
ndca,103307,0.8
np,157326,0.8
pafrac,1.5267141641999171,0.8
para_mn,0.2965450627156965,0.8
pd,23.66068087705169,0.8
pladj,95.88930270403488,0.8
pr,4,0.8
prd,6.01570773478044e-4,0.8
relmutinf,0.8185323069895748,0.8
rpr,NA,0.8
shape_mn,1.710161047545652,0.8
shdi,1.1088425290414632,0.8
shei,0.7998608088874477,0.8
sidi,0.6123288738659263,0.8
siei,0.8164384984879017,0.8
split,5.3048068397887205,0.8
ta,664925.9199999999,0.8
tca,600987.87,0.8
te,54644500,0.8
ai,95.57590042084529,0.9
area_mn,4.72104343133844,0.9
cai_mn,6.629369927993134,0.9
circle_mn,0.6321861444586484,0.9
cohesion,99.94265049320316,0.9
condent,0.3061988817567083,0.9
contag,52.354045694455586,0.9
contig_mn,0.2659557477702204,0.9
core_mn,4.230645186484242,0.9
dcad,16.769838059554065,0.9
dcore_mn,0.7917113381566714,0.9
division,0.810113972400294,0.9
ed,88.12180159859012,0.9
ent,1.5996392904650678,0.9
frac_mn,1.1331298801583227,0.9
gyrate_mn,24.14012636974502,0.9
iji,81.16360518751534,0.9
joinent,1.905838172221776,0.9
lpi,38.49146232711157,0.9
lsi,182.85851370408977,0.9
mesh,126260.14159687988,0.9
msidi,0.9475979118424392,0.9
msiei,0.6835474040859122,0.9
mutinf,1.2934404087083595,0.9
ndca,111507,0.9
np,140843,0.9
pafrac,1.5527534431150103,0.9
para_mn,0.29122350156020776,0.9
pd,21.18175811224204,0.9
pladj,95.59216207169166,0.9
pr,4,0.9
prd,6.01570773478044e-4,0.9
relmutinf,0.8085825450888455,0.9
rpr,NA,0.9
shape_mn,1.858837363911766,0.9
shdi,1.1088425290414632,0.9
shei,0.7998608088874477,0.9
sidi,0.6123288738659263,0.9
siei,0.8164384984879017,0.9
split,5.266316919895102,0.9
ta,664925.9199999999,0.9
tca,595856.76,0.9
te,58594470,0.9
ai,94.68550294393044,1
area_mn,7.917669921409859,1
cai_mn,7.26890334388661,1
circle_mn,0.8227104399795874,1
cohesion,99.94491267693743,1
condent,0.35264158996701256,1
contag,51.19152959997706,1
contig_mn,0.3352104540284591,1
core_mn,6.937711717075495,1
dcad,20.84277298138716,1
dcore_mn,1.6502619671350325,1
division,0.8017364978546546,1
ed,105.92470210816867,1
ent,1.599697226033905,1
frac_mn,1.2378201053493036,1
gyrate_mn,61.54257214669095,1
iji,80.38095928768769,1
joinent,1.9523388160009176,1
lpi,38.49146232711157,1
lsi,219.15016248697037,1
mesh,131830.54156641575,1
msidi,0.9475979118424392,1
msiei,0.6835474040859122,1
mutinf,1.2470556360668923,1
ndca,138589,1
np,83980,1
pafrac,1.7005094630682485,1
para_mn,0.2689182562520034,1
pd,12.629978389171534,1
pladj,94.70166545505089,1
pr,4,1
prd,6.01570773478044e-4,1
relmutinf,0.7795572910748184,1
rpr,NA,1
shape_mn,2.7965998222412307,1
shdi,1.1088425290414632,1
shei,0.7998608088874477,1
sidi,0.6123288738659263,1
siei,0.8164384984879017,1
split,5.043792675804284,1
ta,664925.9199999999,1
tca,582629.03,1
te,70432080,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
